Lichouseries;Menus Crêpes;Pause Gourmande Sucrée;Pause Gourmande Apéritive
;;Café, thé, jus de pommes ou raisins.Triskels au chocolat.Meringues;Cidre, vin blanc, jus de pommes.Assortiment de crêpes roulées salées
;;Café, thé, jus de pommes ou raisins.Gâteau breton.Triskels au chocolat;Cidre, vin blanc, jus de raisins.Assortiment de lichouseries sucrées et salées
;;Café, thé, jus de pommes ou raisins.Gâteau breton.Triskels au chocolat.Crêpes roulées;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
